UserId,Department/Region,Course/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,In person or online or both,With certification (Yes or No),New or long-standing,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),For public use or ILO staff only,year
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,Capacity Building of the Cooperative Work Agency (CWA),,,"Includes development of audit manual, strategic planning, and training for CWA staff to improve service delivery and cooperative governance.",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0022,Region: Arab States,Cooperative Business Plan Competition with Al-Quds University,,,"Competition targeting youth-led cooperative business ideas, includes training, mentorship, and funding.",online,No,New,extrabudgetary,Youth only,Public use,2024
USR-202506-0022,Region: Arab States,Integration of Think.COOP and Start.COOP in Al-Quds University Incubation Programmes,,,Capacity-building for young entrepreneurs in cooperative development.,online,Yes,New,extrabudgetary,Youth only,Public use,2024
USR-202506-0022,Region: Arab States,Establishment of Childcare Cooperative with PGFTU,,,Training women to operate childcare cooperatives; focuses on gender empowerment and service provision.,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0022,Region: Arab States,Training on Marketing and Food Packaging (WFP Partnership),,,Enhancing cooperative product quality and access to WFP markets through training and technical support.,online,No,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0022,Region: Arab States,Study Tour to Italy (May 2025),,,Exposure visit for 9 Palestinian stakeholders to learn from Italian cooperative models and institutions.,in-person,No,New,extrabudgetary,Youth only,Public use,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
